nome,idade,cpf,data_nasc,sexo,endereco,numero,bairro,cidade,estado
Bruno Felipe Alves,63,894.907.653-50,06/08/1959,Masculino,Rua Inhambu,996,Vitoria Regia,Londrina,PR
Nina Elaine Renata Martins,42,877.526.453-62,04/05/1980,Feminino,Quadra QR 310 Conjunto N,284,Santa Maria,Brasilia,DF
Marcia Caroline Sara Nunes,51,214.565.496-85,11/05/1971,Feminino,Rua Mauro Rigo,208,Esplanada,Chapeco,SC
Julio Isaac Almeida,74,543.915.194-02,25/02/1948,Masculino,Rua Dianapolis,790,Clima Bom,Maceio,AL
Sophia Gabriela Heloise Rezende,76,830.349.038-98,04/05/1946,Feminino,Avenida Deputado Pinheiro Machado 2675,770,Piaui,Parnaiba,PI
Silvana Cecilia Simone Corte Real,73,096.247.841-59,08/01/1949,Feminino,Rua Principal s/n,879,Centro,Ribeiropolis,SE
Claudia Milena Moura,68,785.017.578-61,24/05/1954,Feminino,Alameda Payssandu,856,Icui-Guajara,Ananindeua,PA
Nicolas Lorenzo da Paz,69,028.127.501-70,21/06/1953,Masculino,Rua Chico Mendes,788,Conquista,Rio Branco,AC
Rosa Giovana da Cunha,75,051.625.647-53,10/05/1947,Feminino,Rua Umari,784,Alvorada,Manaus,AM
Debora Jessica Sara Silveira,52,991.902.368-07,25/04/1970,Feminino,Rua Peixe Boi,492,Santa Tereza,Boa Vista,RR
Malu Caroline Cavalcanti,56,892.579.995-21,02/03/1966,Feminino,Rua Três,972,Sao Raimundo(Anjo da Guarda),Sao Luis,MA
Guilherme Sebastiao Raimundo da Costa,50,263.266.382-24,08/02/1972,Masculino,Rua Manuel Torres,771,Santissimo,Rio de Janeiro,RJ
Heloisa Barbara Livia Moraes,48,646.999.390-74,25/01/1974,Feminino,Quadra QI 616 Conjunto H-I,128,Samambaia Norte (Samambaia),Brasilia,DF
Samuel Daniel da Conceiçao,58,166.526.478-00,25/02/1964,Masculino,Rua David Caldas 636/s,743,Centro,Teresina,PI
Otavio Rafael Victor Castro,34,037.349.530-73,17/01/1988,Masculino,Rua Jose Paulo Candido,375,Jardim Silveira,Sao Paulo,SP
