nome,idade,cpf,data_nasc,sexo,endereco,numero,bairro,cidade,estado
Emanuel Francisco Araujo,46,608.982.268-05,02/02/2004,Masculino,Rua Ipe,359,Nova Brasilia,Ji-Parana,RO
Kaue Ricardo Gael Assis,73,578.474.302-31,13/05/2003,Masculino,Rua V,651,Cidade Jardim,Arcoverde,PE
Emily Francisca Maite Rodrigues,11,300.217.914-06,01/08/2003,Feminino,Rua Joao Pereira da Silva,472,Camurugi,Guarapari,ES
Emily Elza Elisa Barros,54,766.479.188-09,27/03/2003,Feminino,Rua Tamandare,495,Pajucara,Maracanau,CE
Bruna Isadora Novaes,19,881.906.299-21,07/02/2002,Feminino,Rua Josefa Lopes de Araujo,553,Cabral,Teresina,PI
Ricardo Carlos Aragao,85,112.294.634-10,19/01/2002,Masculino,Quadra Quadra 102 Conjunto 6,487,Recanto das Emas,Brasilia,DF
Priscila Marcela Rocha,30,780.903.184-87,10/02/2002,Feminino,Avenida Cosme Ferreira,333,Distrito Industrial I,Manaus,AM
Priscila Jennifer Mariane Dias,23,674.462.852-65,18/04/2002,Feminino,Travessa Boa Vista 1,778,Capoeira,Rio Branco,AC
Tereza Isabelle Barros,31,936.484.325-83,16/02/2001,Feminino,Rua Maria Batista Paiva,778,Ernesto Geisel,Joao Pessoa,PB
Pedro Henrique Giovanni Jorge das Neves,71,606.171.213-89,11/06/2001,Masculino,Quadra QS 3 Rua 430,207,Areal (aguas Claras),Brasilia,DF
Levi Danilo Drumond,56,274.763.286-55,10/02/2001,Masculino,Rua Joao Hardman de Barros,996,Oitizeiro,Joao Pessoa,PB
Sarah Heloisa Almada,74,796.366.894-07,14/03/2001,Feminino,Rua Professor Edgar Gewehr,204,Independencia,Santa Cruz do Sul,RS
Carla Stella Stella Novaes,76,928.157.092-01,24/01/2001,Feminino,Quadra SQN 210,742,Asa Norte,Brasilia,DF
Marina Andreia Eliane Goncalves,51,913.180.172-20,21/07/2000,Feminino,Rua Mobral,910,Maria Luiza,Cascavel,PR
Andreia Nicole Carolina Nogueira,60,506.944.119-14,17/08/1999,Feminino,Vila Santa Lucia,906,Guama,Belem,PA
Elaine Ayla Stella da Costa,20,933.502.689-19,21/06/1998,Feminino,Rua Doutor Jozone Pedroso de Camargo,684,Jardim Ayde,Dourados,MS
Jennifer Liz Liz Aparicio,25,216.487.500-10,23/06/1998,Feminino,Rua Dom Severino Vieira de Melo,916,Sao Francisco,Caruaru,PE
Breno Paulo Manuel Souza,76,819.758.540-71,03/05/1998,Masculino,Rua Botafogo,376,Defesa Civil,Rio Branco,AC
Nathan Nelson Araujo,21,035.056.080-33,23/06/1997,Masculino,Travessa B,934,Uniao,Boa Vista,RR
Amanda Eloa Nair Oliveira,24,689.228.058-70,07/05/1997,Feminino,Rua Maria do Socorro,598,Aguazinha,Olinda,PE
Luiza Mariane da Mota,31,150.600.367-23,22/02/1996,Feminino,Avenida Prefeito Milton Rodrigues,950,Centro (Manilha),Itaborai,RJ
Pietra Carolina Lavinia Lopes,85,436.476.291-11,08/07/1995,Feminino,Rua Seis,891,Jardim Centenario,Aracaju,SE
Sandra Olivia Dias,14,029.337.307-82,10/08/1994,Feminino,Rodovia BR-316 km 4 Lote s/n,661,Centro,Ananindeua,PA
Gabriel Ryan Cardoso,42,583.815.414-41,16/05/1994,Masculino,Rodovia Coronel Estevao Torquato da Silva,836,Despraiado,Cuiaba,MT
Jaqueline Giovanna Marcia Santos,57,768.734.033-77,02/04/1993,Feminino,Quadra Nove,329,Tenone,Belem,PA
Calebe Pedro Kaique Cardoso,48,972.603.511-28,13/01/1991,Masculino,Alameda Riguel,962,Residencial Morada das Estrelas (Aldeia da Serra),Barueri,SP
Bruna Emilly Bernardes,5,326.136.530-78,09/08/1990,Feminino,Rua Caja Mirim,919,Monte das Oliveiras,Manaus,AM
Tiago Pietro Pires,39,350.181.306-60,27/07/1989,Masculino,Rua Afeia,154,Jorge Teixeira,Manaus,AM
Felipe Gabriel Lopes,22,214.105.778-72,08/02/1989,Masculino,Rua Margarida Barbosa Chaves,633,Funcionarios,Joao Pessoa,PB
Otavio Rafael Victor Castro,51,037.349.530-73,17/01/1988,Masculino,Rua Jose Paulo Candido,375,Jardim Silveira,Sao Paulo,SP
Henrique Nelson Gomes,17,417.227.932-52,18/04/1987,Masculino,Rua Manoel Francisco da Silva,853,Universitario,Caruaru,PE
Victor Carlos Eduardo Pires,29,190.312.369-00,06/06/1986,Masculino,Travessa Washington Luis,334,Petropolis,Manaus,AM
Mariana Rebeca Kamilly Aparicio,15,100.505.355-36,05/02/1985,Feminino,Avenida Jornalista Roberto Marinho,428,Galo Branco,Sao Goncalo,RJ
Ian Vicente Julio Sales,71,924.960.305-33,06/04/1984,Masculino,Rua Jose do Monte,287,Flavio Marques Lisboa (Barreiro),Belo Horizonte,MG
Jaqueline Lara dos Santos,85,193.978.242-28,27/02/1984,Feminino,Rua Rio Desterro,651,Sucupira,Jaboatao dos Guararapes,PE
Ayla Malu Lais da Conceicao,54,254.795.150-98,19/06/1983,Feminino,area SRES area Especial Bloco C,712,Cruzeiro Velho,Brasilia,DF
Nina Elaine Renata Martins,60,877.526.453-62,04/05/1980,Feminino,Quadra QR 310 Conjunto N,284,Santa Maria,Brasilia,DF
Cecilia Sandra Rita da Cunha,54,784.283.499-75,18/06/1980,Feminino,Travessa da Afeletro,213,Boa Esperanca,Rio Branco,AC
Valentina Daniela Rocha,50,061.681.673-15,16/06/1979,Feminino,Rua Vinte e Quatro,775,Interlagos,Sete Lagoas,MG
Emily Francisca Jesus,48,544.772.817-73,12/03/1979,Feminino,Rua Palmital,710,Lagoa Salgada,Feira de Santana,BA
