nome,cpf,idade,sexo,cidade,estado
Emanuel Francisco Araujo,608.982.268-05,46,Masculino,Ji-Parana,RO 
Kaue Ricardo Gael Assis,578.474.302-31,73,Masculino,Arcoverde,PE 
Emily Francisca Maite Rodrigues,300.217.914-06,11,Feminino,Guarapari,ES 
Emily Elza Elisa Barros,766.479.188-09,54,Feminino,Maracanau,CE 
Bruna Isadora Novaes,881.906.299-21,19,Feminino,Teresina,PI 
Ricardo Carlos Aragao,112.294.634-10,85,Masculino,Brasilia,DF 
Priscila Marcela Rocha,780.903.184-87,30,Feminino,Manaus,AM 
Priscila Jennifer Mariane Dias,674.462.852-65,23,Feminino,Rio Branco,AC
Tereza Isabelle Barros,936.484.325-83,31,Feminino,Joao Pessoa,PB
Pedro Henrique Giovanni Jorge das Neves,606.171.213-89,71,Masculino,Brasilia,DF
Levi Danilo Drumond,274.763.286-55,56,Masculino,Joao Pessoa,PB
Sarah Heloisa Almada,796.366.894-07,74,Feminino,Santa Cruz do Sul,RS
Carla Stella Stella Novaes,928.157.092-01,76,Feminino,Brasilia,DF
Marina Andreia Eliane Goncalves,913.180.172-20,51,Feminino,Cascavel,PR
Andreia Nicole Carolina Nogueira,506.944.119-14,60,Feminino,Belem,PA
Elaine Ayla Stella da Costa,933.502.689-19,20,Feminino,Dourados,MS
Jennifer Liz Liz Aparicio,216.487.500-10,25,Feminino,Caruaru,PE
Breno Paulo Manuel Souza,819.758.540-71,76,Masculino,Rio Branco,AC
Nathan Nelson Araujo,035.056.080-33,21,Masculino,Boa Vista,RR
Amanda Eloa Nair Oliveira,689.228.058-70,24,Feminino,Olinda,PE
Luiza Mariane da Mota,150.600.367-23,31,Feminino,Itaborai,RJ
Pietra Carolina Lavinia Lopes,436.476.291-11,85,Feminino,Aracaju,SE
Sandra Olivia Dias,029.337.307-82,14,Feminino,Ananindeua,PA
Gabriel Ryan Cardoso,583.815.414-41,42,Masculino,Cuiaba,MT
Jaqueline Giovanna Marcia Santos,768.734.033-77,57,Feminino,Belem,PA
Calebe Pedro Kaique Cardoso,972.603.511-28,48,Masculino,Barueri,SP
Bruna Emilly Bernardes,326.136.530-78,5,Feminino,Manaus,AM
Tiago Pietro Pires,350.181.306-60,39,Masculino,Manaus,AM
Felipe Gabriel Lopes,214.105.778-72,22,Masculino,Joao Pessoa,PB
Otavio Rafael Victor Castro,037.349.530-73,51,Masculino,Sao Paulo,SP
Henrique Nelson Gomes,417.227.932-52,17,Masculino,Caruaru,PE
Victor Carlos Eduardo Pires,190.312.369-00,29,Masculino,Manaus,AM
Mariana Rebeca Kamilly Aparicio,100.505.355-36,15,Feminino,Sao Goncalo,RJ
Ian Vicente Julio Sales,924.960.305-33,71,Masculino,Belo Horizonte,MG
Jaqueline Lara dos Santos,193.978.242-28,85,Feminino,Jaboatao dos Guararapes,PE
Ayla Malu Lais da Conceicao,254.795.150-98,54,Feminino,Brasilia,DF
Nina Elaine Renata Martins,877.526.453-62,60,Feminino,Brasilia,DF
Cecilia Sandra Rita da Cunha,784.283.499-75,54,Feminino,Rio Branco,AC
